,store,sido,gungu,store_address
166,서울도봉구창동점,서울특별시,도봉구,서울 도봉구 덕릉로 59마길40
167,서울은평구녹번점,서울특별시,은평구,서울 은평구 백련산로 160
168,경기의정부시신시가지점,경기도,의정부시,경기 의정부시 범골로 82번길30
169,경기파주시적성점,경기도,파주시,경기 파주시 적성면 청송로 1020
170,서울용산구보광점,서울특별시,용산구,서울 용산구 보광로 52-1
171,서울마포구홍대역점,서울특별시,마포구,서울특별시 마포구 동교로 192
172,서울종로구종로점,서울특별시,종로구,서울 종로구 수표로 26길12파고다빌딩1층
173,경기파주시법원점,경기도,파주시,경기 파주시 법원읍 사임당로 791
174,경기파주시운정1점,경기도,파주시,경기 파주시 와석순환로 307
175,서울마포구공덕점,서울특별시,마포구,서울 마포구 만리재로 86
176,서울도봉구쌍문점,서울특별시,도봉구,서울 도봉구 노해로 38길7
177,경기고양시가좌점,경기도,고양시,경기 고양시 일산서구 가좌1로38
178,서울동대문구회기점,서울특별시,동대문구,서울 동대문구 회기로 25길17-9
179,서울도봉구도봉산역점,서울특별시,도봉구,서울 도봉구 도봉산3길 37
180,서울중랑구면목3점,서울특별시,중랑구,서울 중랑구 용마산로 89길16
181,경기고양시일산점,경기도,고양시,경기 고양시 일산서구 원일로 45번길10
182,서울중구을지로점,서울특별시,중구,서울 중구 퇴계로 51길19
183,서울은평구갈현1점,서울특별시,은평구,서울 은평구 연서로 29길30-5
184,경기파주시LCD점,경기도,파주시,경기 파주시 월롱면 엘씨디로 8번길34
185,서울동대문구전농점,서울특별시,동대문구,서울 동대문구 답십리로51길35
186,서울강북구수유2점,서울특별시,강북구,서울 강북구 삼각산로 99
187,서울중랑구중화점,서울특별시,중랑구,서울 중랑구 동일로 123길91
188,서울성북구종암점(B),서울특별시,성북구,서울 성북구 종암로 19길37
189,경기고양시화정1점,경기도,고양시,경기 고양시 덕양구 화중로 130번길5-37
190,경기의정부시민락용현점,경기도,의정부시,경기 의정부시 용현로 120번길3
191,서울서대문구북가좌2점,서울특별시,서대문구,서울 서대문구 증가로 211
192,경기의정부시가능2점,경기도,의정부시,경기 의정부시 가능로 39번길10
193,서울노원구중계4동점,서울특별시,노원구,서울 노원구 덕릉로 89길9
194,서울은평구구산점,서울특별시,은평구,서울 은평구 갈현로 123
195,경기연천군군남점,경기도,연천군,경기 연천군 군남면 군왕로 8
196,서울중랑구용마산역점,서울특별시,중랑구,서울 중랑구 면목로 21길22
197,경기고양시성사점,경기도,고양시,경기 고양시 덕양구 마상로 169
198,서울성동구성수2가점,서울특별시,성동구,서울 성동구 성덕정길 27
199,경기양주시은현점,경기도,양주시,경기 양주시 은현면 은현로 61
200,서울서대문구연대점,서울특별시,서대문구,서울 서대문구 연세로 7안길7
201,서울은평구대조점,서울특별시,은평구,서울 은평구 통일로 73길28-1
202,서울마포구염리점,서울특별시,마포구,서울 마포구 마포대로 11길921층
203,경기파주시운정3점,경기도,파주시,경기 파주시 한빛로 9
204,서울광진구중곡1점,서울특별시,광진구,서울 광진구 면목로 148
205,서울성북구성신여대점(B),서울특별시,성북구,서울 성북구 보문로 26길83-191층
206,서울중구신당2점,서울특별시,중구,서울 중구 청구로 17길77
207,서울종로구광화문점(B),서울특별시,종로구,서울 종로구 사직로 8길20
208,서울노원구상계중앙점,서울특별시,노원구,서울 노원구 덕릉로459-37상계주공1단지가상
209,서울종로구독립문점,서울특별시,종로구,서울 종로구 통일로 262
210,서울중랑구면목2점,서울특별시,중랑구,서울 중랑구 망우로 30길34
211,서울노원구중계2동점,서울특별시,노원구,서울 노원구 동일로 207길18
212,경기의정부시녹양점(B),경기도,의정부시,경기 의정부시 녹양로 62번길72
213,경기고양시능곡점,경기도,고양시,경기 고양시 덕양구 행당로2
214,서울서대문구홍은1점,서울특별시,서대문구,서울 서대문구 간호대로 16
215,서울중랑구상봉1점,서울특별시,중랑구,서울 중랑구 봉화산로52길73
216,경기포천시가산점,경기도,포천시,경기 포천시 가산면 가산로 324
