,store,sido,gungu,store_address
217,서울중랑구신내1점,서울특별시,중랑구,서울 중랑구 신내로 135
218,서울마포구마포역점,서울특별시,마포구,서울 마포구 새창로 52현대아파트상가제12동
219,서울서초구반포1점,서울특별시,서초구,서울 서초구 반포대로 316
220,서울금천구시흥2점,서울특별시,금천구,서울 금천구 금하로 756
221,서울동작구대방점,서울특별시,동작구,서울 동작구 등용로 127
222,서울동작구신대방점,서울특별시,동작구,서울 동작구 여의대방로 28
223,서울서초구방배1호점,서울특별시,서초구,서울 서초구 방배로 27길18-4
224,서울영등포구여의도점,서울특별시,영등포구,서울 영등포구 의사당대로 108
225,서울관악구신림2점,서울특별시,관악구,서울 관악구 신림로 158
226,서울영등포구영등포점,서울특별시,영등포구,서울 영등포구 영신로 9길3-1
227,서울송파구거여점,서울특별시,송파구,서울 송파구 성내천로 136
228,서울동작구상도1점,서울특별시,동작구,서울 동작구 상도로 50길9
229,서울영등포구대림3점,서울특별시,영등포구,서울 영등포구 도림로 53길34-1
230,서울송파구삼전점,서울특별시,송파구,서울 송파구 삼전로6길 4
231,서울동작구노량진점,서울특별시,동작구,서울 동작구 만양로 8길50
232,서울강남구개포1점,서울특별시,강남구,서울 강남구 개포로 25길12
233,서울서초구양재점,서울특별시,서초구,서울 서초구 동산로 46
234,서울영등포구여의도2호점,서울특별시,영등포구,서울 영등포구 국제금융로 7길32
235,서울서초구잠원점,서울특별시,서초구,서울 서초구 나루터로 68
236,서울영등포구신풍역점,서울특별시,영등포구,서울 영등포구 대방천로 222-1
237,서울관악구인헌점,서울특별시,관악구,서울 관악구 인헌길 58
238,서울서초구우면점,서울특별시,서초구,서울 서초구 형촌길 15
239,서울송파구잠실본점,서울특별시,송파구,서울 송파구 백제고분로 7길24-27
240,서울영등포구영등포푸르지오점,서울특별시,영등포구,서울 영등포구 양산로 177
241,서울관악구신림점,서울특별시,관악구,서울 관악구 문성로 215
242,서울송파구석촌점,서울특별시,송파구,서울 송파구 가락로 55
243,서울관악구봉천중앙점,서울특별시,관악구,서울 관악구 남부순환로 231길16
244,서울송파구가락2점,서울특별시,송파구,서울 송파구 송이로 19길5
245,서울송파구문정장지점,서울특별시,송파구,서울 송파구 새말로 147
246,서울송파구오금점(B),서울특별시,송파구,서울 송파구 마천로 184
247,서울금천구가산독산1동점,서울특별시,금천구,서울 금천구 가산로 3길55
248,서울금천구독산점,서울특별시,금천구,서울 금천구 남부순환로 126길69
249,서울송파구가락점,서울특별시,송파구,서울 송파구 오금로44길20
250,서울서초구방배본동점,서울특별시,서초구,서울 서초구 방배중앙로 25길24
251,서울서초구반포2점,서울특별시,서초구,서울 서초구 강남대로 85길21-8
252,서울서초구서초2점,서울특별시,서초구,서울 서초구 효령로 46길14
253,서울강남구역삼충현점,서울특별시,강남구,서울 강남구 봉은사로 26길28
254,서울서초구서초1호점,서울특별시,서초구,서울 서초구 효령로 77길18
255,서울관악구신림남부점,서울특별시,관악구,서울 관악구 남부순환로 143길16
256,서울관악구난곡점,서울특별시,관악구,서울 관악구 미성3길8
257,서울강남구신사점,서울특별시,강남구,서울 강남구 논현로 159길25
258,서울강남구도곡점,서울특별시,강남구,서울 강남구 도곡로 28길8
259,서울송파구풍납점,서울특별시,송파구,서울 송파구 풍성로 26길51
260,서울동작구사당이수점,서울특별시,동작구,서울 동작구 사당로 27길64
261,서울관악구봉천현대점(B),서울특별시,관악구,서울 관악구 봉천로 441
262,서울영등포구대림점(B),서울특별시,영등포구,서울 영등포구 디지털로 398
263,서울송파구송파방이2점,서울특별시,송파구,서울 송파구 가락로 36길15
264,서울서초구서초중앙점,서울특별시,서초구,서울 서초구 서초중앙로 24길55111호
265,서울강남구논현1점,서울특별시,강남구,서울 강남구 강남대로 126길38
266,서울금천구금천점,서울특별시,금천구,서울 금천구 은행나무로 22
267,서울강남구청담점,서울특별시,강남구,서울 강남구 삼성로 145길14
268,서울송파구위례점,서울특별시,송파구,서울 송파구 위례광장로 193
269,서울송파구잠실1점,서울특별시,송파구,서울 송파구 올림픽로 35가길11
270,서울강남구대치점,서울특별시,강남구,서울 강남구 삼성로 417
271,서울강남구역삼1점,서울특별시,강남구,서울 강남구 논현로 67길48
272,서울강남구세곡자곡점,서울특별시,강남구,서울 강남구 자곡로 202
273,서울동작구중대점,서울특별시,동작구,서울 동작구 흑석로 7길6-1
274,서울동작구상도2호점(B),서울특별시,동작구,서울 동작구 성대로 75
275,서울송파구잠실새내역점,서울특별시,송파구,서울 송파구 올림픽로 119
276,서울영등포구신길점,서울특별시,영등포구,서울 영등포구 가마산로 404
277,서울강남구수서점,서울특별시,강남구,서울 강남구 광평로 51길22
278,경기과천시과천1점,경기도,과천시,경기 과천시 별양로 85
279,서울관악구봉천점,서울특별시,관악구,서울 관악구 은천로 9길14
280,서울양천구신정점,서울특별시,양천구,서울 양천구 신목로 12길17
281,서울강서구염창점,서울특별시,강서구,서울 강서구 양천로 637
282,서울강서구방화2점,서울특별시,강서구,서울 강서구 금낭화로 26
283,경기광명시하안점,경기도,광명시,경기 광명시 하안로 254
284,서울양천구신정1동점,서울특별시,양천구,서울 양천구 은행정로 16-1
285,서울구로구구로1점,서울특별시,구로구,서울 구로구 구로동로 35길40
286,서울강서구화곡본동점,서울특별시,강서구,서울 강서구 초록마을로 2길54
287,서울강서구등촌3동점,서울특별시,강서구,서울 강서구 공항대로 41길65
288,경기안양시평촌1호점,경기도,안양시,경기 안양시 동안구 달안로 153
289,경기광명시철산점,경기도,광명시,경기 광명시 도덕공원로 68
290,경기안양시비산1호점,경기도,안양시,경기 안양시 동안구 경수대로 970-16
291,서울강서구까치산점,서울특별시,강서구,서울 강서구 강서로 12길40
292,서울강서구화곡남부시장점,서울특별시,강서구,서울 강서구 곰달래로 53길50
293,경기안양시석수점,경기도,안양시,경기 안양시 만안구 석천로 167-3
294,서울강서구화곡1동점,서울특별시,강서구,서울 강서구 가로공원로 76길95
295,서울양천구신월1동점,서울특별시,양천구,서울 양천구 가로공원로 148
296,경기안양시안양2호점,경기도,안양시,경기 안양시 만안구 냉천로 22
297,서울강서구등촌2동점,서울특별시,강서구,서울 강서구 등촌로 51가길47
298,경기안양시호계갈산점,경기도,안양시,경기 안양시 동안구 경수대로610번길66
299,경기광명시소하점,경기도,광명시소하로,경기 광명시소하로 189
300,서울양천구양천구청점,서울특별시,양천구,서울 양천구 목동남로 2길15
301,경기안양시호계오전점,경기도,안양시,경기 안양시 동안구 포도원로 27
302,경기광명시광명KTX역점,경기도,광명시,경기 광명시 덕안로 77번길5
303,서울강서구가양1점(B),서울특별시,강서구,서울 강서구 양천로 443-32
304,서울양천구화곡3동점,서울특별시,양천구,서울 양천구 월정로 42길9
305,서울구로구남구로점,서울특별시,구로구,서울 구로구 도림로 12길24
306,경기광명시광명사거리점,경기도,광명시,경기 광명시 오리로 985번안길7
307,서울강서구방화1점,서울특별시,강서구,서울 강서구 양천로 24가길3
308,서울양천구신월2점,서울특별시,양천구,서울 양천구 오목로 77
309,서울양천구목4동점,서울특별시,양천구,서울 양천구 목동중앙서로 23
310,경기안양시호계2호점,경기도,안양시,경기 안양시 동안구 전파로 88
311,서울강서구수명산파크점,서울특별시,강서구,서울 강서구 강서로 47길108
312,서울구로구오류1점,서울특별시,구로구,서울 구로구 부일로 953
313,서울양천구신월점,서울특별시,양천구,서울 양천구 신월로 99
314,서울구로구구로테크노마트점,서울특별시,구로구,서울 구로구 새말로 102
315,서울구로구고척1점,서울특별시,구로구,서울 구로구 경서로 45
316,경기광명시철산역점,경기도,광명시,경기 광명시 광덕산로5푸르지오하늘채아파트종합
317,경기안양시박달점,경기도,안양시,경기 안양시 만안구 양화로 148번길15
318,서울구로구근린공원점,서울특별시,구로구,서울 구로구 고척로 27길115
319,서울구로구신도림점,서울특별시,구로구,서울 구로구 신도림로 11길43
320,경기안양시관양지구점,경기도,안양시,경기 안양시 동안구 관악대로 374번길19
321,경기안양시관양비산점,경기도,안양시,경기 안양시 동안구 평촌대로 382
322,경기광명시광명시장점,경기도,광명시,경기 광명시 광이로 32
323,경기안양시평촌2호점,경기도,안양시,경기 안양시 동안구 관평로 138번길24
324,경기안양시안양1호점,경기도,안양시,경기 안양시 만안구 냉천로 175번길6
325,경기부천시송내점,경기도,부천시,경기 부천시 소사구 송내대로 30번길71
326,경기김포시양곡점,경기도,김포시,경기 김포시 김9로121
327,인천동구동인천송현점,인천광역시,동구,인천 동구 화도로 15
328,인천부평구부개점,인천광역시,부평구,인천 부평구 길주남로 101번길4-19
329,경기시흥시월곶점,경기도,시흥시,경기 시흥시 월곶중앙로 90
330,인천남동구논현점,인천광역시,남동구,인천 남동구 논곡로 79
331,경기부천시범박점,경기도,부천시,경기 부천시 소사구 소사동로 93
332,경기부천시원종점,경기도,부천시,경기 부천시 오정구 소사로 775번길50
333,인천계양구계산점,인천광역시,계양구,인천 계양구 용마루길 20
334,경기부천시심곡점,경기도,부천시,경기 부천시 소사구 심곡로 67번길67
335,경기부천시소사점,경기도,부천시,경기 부천시 소사구 은성로 68번길23
336,경기부천시역곡점,경기도,부천시,경기 부천시 원미구 역곡로 20번길86
337,인천남구주안점,인천광역시,남구,인천 남구 인주대로 489
338,경기부천시원미점,경기도,부천시,경기 부천시 원미구 조마루로 386번길26
339,인천남구주안역점,인천광역시,남구,인천 남구 주안로 201
340,경기부천시오정점,경기도,부천시,경기 부천시 오정구 부천로 478번길60
341,경기김포시김포1호점,경기도,김포시,경기 김포시 관순로 28
342,경기부천시역곡남부점,경기도,부천시,경기 부천시 소사구 부광로 23
343,인천부평구부평중앙점,인천광역시,부평구,인천 부평구 장제로 84번길6
344,인천부평구청천점,인천광역시,부평구,인천 부평구 마장로 364번길7-1
345,인천서구가좌점,인천광역시,서구,인천 서구 여우재로 109
346,경기김포시고촌점,경기도,김포시,경기 김포시 고촌읍 은행영사정로 35102
347,경기김포시풍무점,경기도,김포시,경기 김포시 양도로 18
348,경기김포시장기점,경기도,김포시,경기 김포시 김포한강3로290-16
349,인천서구검암점,인천광역시,서구,인천 서구 도요지로 189번길104
350,인천강화군강화1점,인천광역시,강화군,인천 강화군 강화읍 강화대로 362
351,인천부평구부평남부점,인천광역시,부평구,인천 부평구 남부역로 3
352,인천남동구간석점(B),인천광역시,남동구,인천 남동구 구월로 131번길52
353,인천연수구송도신도시점,인천광역시,연수구,인천 연수구 해돋이로 107
354,경기부천시심곡북부점,경기도,부천시,경기 부천시 원미구 부흥로 430
355,경기시흥시거모점(B),경기도,시흥시,경기 시흥시 한우물로 25
356,인천서구마전점,인천광역시,서구,인천 서구 검단로 623번길17
357,인천중구월미점,인천광역시,중구,인천 중구 월미로 223
358,인천중구하늘도시점,인천광역시,중구,인천 중구 하늘달빛로 95
359,인천연수구선학점,인천광역시,연수구,인천 연수구 선학로 90
360,경기시흥시시화점,경기도,시흥시,경기 시흥시 중심상가로 39
361,인천서구신현점(B),인천광역시,서구,인천 서구 율도로 77번길12
362,인천옹진군백령점,인천광역시,옹진군,인천 옹진군 백령면 백령로 272-1
