,store,sido,gungu,store_address
161,삼성2점,대전광역시,동구,대전 동구 현암로 36
162,삼성점,충청북도,음성군,충북 음성군 삼성면 덕정로62번길 2
163,무극점,충청북도,음성군,충북 음성군 금왕읍 무극로 234
164,경산남산점,경상북도,경산시,경북 경산시 남산면 산양길 9
165,계백점,대전광역시,중구,대전시 중구 문화로90
166,원성점,충청남도,천안시,충남 천안시 동남구 버들로127
167,가양점,서울특별시,강서,서울 강서 가양 1475 강변아파트상가 203
168,등촌점,서울특별시,강서구,서울특별시 강서구 등촌동 704  주공9단지아파트상가동102호
169,방화점,서울특별시,강서구,서울특별시 강서구 방화대로33길 17 (방화동
170,신길점,서울특별시,영등포,서울시 영등포 신길 95-62
171,신풍역점,서울특별시,영등포구,서울특별시 영등포구 신길로 108(신길동
172,신대방,서울특별시,동작구,서울시 동작구 대방동 409-10
173,암사점,경기도,수원시,서울 강동구 암사동 425-197번지
174,풍납점,경기도,수원시,서울 송파구 풍납동 392번지
175,송파점,서울특별시,강남구,서울특별시 강남구 논현동 187-1
176,가락점,서울특별시,송파구,서울 송파구 가락동 82-6번지
177,문정점,서울특별시,송파구,서울 송파구 문정동 29
178,오금점,서울특별시,송파구,서울 송파구 오금동 151-6번지
179,일원점,서울특별시,강남,서울시 강남 일원 682-7 1층
180,삼전점,서울특별시,송파,서울시 송파 삼전 167-17
181,신천점,서울특별시,송파,서울시 송파 잠실 185-9
182,압구정점,서울특별시,강남구,서울 강남구 신사동 653-15번지 2층
183,잠원점,서울특별시,서초구,서울 서초구 잠원동 53번지 현대상사 1층 6호
184,방배점,서울특별시,서초구,서울 서초구 방배동 868-28번지
185,양재점,서울특별시,서초구,서울 서초구 양재동 6-37번지
186,대치점,서울특별시,강남구,서울 강남구 대치동 922-14번지
187,서초점,서울특별시,서초구,서울 서초구 서초동 1342번지
188,역삼점,서울특별시,강남구,서울 강남구 역삼동 782-28번지
189,논현점,서울특별시,강남구,서울 강남구 논현동 192-1번지
190,여의도점,경기도,오산시,서울시 영등포구 여의도동50 시범상가
191,대방점,서울특별시,동작구,서울 동작구 대방동 68-35번지
192,장승배기점,서울특별시,동작,서울 동작 상도 373-72번지
193,봉천점,서울특별시,관악구,서울 관악구 봉천동 885-1번지
194,행운점,서울특별시,관악구,서울 관악구 행운동 66-117번지
195,우장산점,서울특별시,강서구,서울특별시 강서구 강서로 46길 51(내발산동)
196,화곡역점,서울특별시,강서구,서울특별시 강서구 화곡동 1062-20 2층
197,신정1점,서울특별시,양천구,서울특별시 양천구 은행정로 5길 28
198,신도림점,서울특별시,구로구,서울시 구로구 신도림동 396 - 140
199,신정7점,서울특별시,양천구,서울특별시 양천구 신정동 203-1
200,당산점,서울특별시,영등포구,서울 영등포구 당산동1가 378번지
201,대림점,서울특별시,영등포구,서울시 영등포구 대림동 1027-16
202,구로가산점,서울특별시,구로구,서울 구로구 구로동 792-22번지
203,독산점,서울특별시,금천구,서울시 금천구 독산 179-12
204,시흥점,서울특별시,금천구,서울시 금천구 시흥동 887-24
205,원종점,경기도,부천시,경기도 부천시 원종동 382-7
206,목동점,서울특별시,양천구,서울특별시 양천구 목동중앙서로 40 (목동
207,사당점,서울특별시,동작구,동작구 사당동 312-9번지
208,상도점,서울특별시,동작구,서울 동작구 상도1동 360-1번지
209,동방점,서울특별시,관악,서울시 관악 신림 246-23
210,신림점,서울특별시,관악구,서울시 관악구 신림동 96-87
